index,user_id,date,comment
10,benjaminh,"April 6, 2020 11:54AM",Michaellsaid:Where's the Tesla Model 3?In its own category. I think it sells as much as almost all of these combined.
11,benjaminh,"July 26, 2020 11:24AM","The entry-level luxury cars I might be interested in are the Audi A3 and A4, BMW 3-series, Mercedes A-class, the new Acura TLX and new ILX replacement, and the Volvo S60."
12,benjaminh,"July 26, 2020 2:42PM",There's speculation that the ILX name might be retired. The new car might possibly bring back the RSX name.
13,benjaminh,"July 26, 2020 2:54PM","Yes, I'd like to see Acura bring back a hatchback. But as you've also speculated, there's room in the Acura lineup for an X1-size of small suv. My guess is that we'll get something like that in a couple of years, but from the leaks we've gotten so far it doesn't look like it's happening during calendar year 2021."
14,carnaught,"May 6, 2021 7:45AM","benjaminhsaid:@explorerx4: How do you like your Lincoln MKZ? As you may have seen, a friend of mine just got a 2018 MKZ and so far he loves it.It’s a nice car.  They should have updated instead of eliminating it."
15,andres3,"August 18, 2019 12:19PM",benjaminhsaid:Luxury VW Arteon hatchback sedan....https://www.youtube.com/watch?v=_-LJGn24VP8The leather is definitely more Audi-like than Jetta-like.
16,sda,"August 18, 2019 2:17PM","dino001said:You mean 2019 is the last year?  That’s a bummer.  Wonder what will come after.  Standard 3/36?  So far no word on the website, probably because there are no 2020 models there yet.4 yr/50k, same as Audi.  From what I read dealers said selling an extended warranty became difficult with so long of coverage, hitting their profit potential."
17,circlew,"August 18, 2019 4:54PM",Looks like lease is the best bet on WV/Audi. Cost cutting to support past sins might delay quality improvements.
18,stickguy,"August 20, 2019 5:58PM","nice.  So the Kia finally went back?I have the Tiguan on my ""to look at"" list.  Has to be really nice to get my wife to consider a VW though!"
19,andres3,"August 20, 2019 6:13PM","andres3said:ndstickguysaid:nice.  So the Kia finally went back?I have the Tiguan on my ""to look at"" list.  Has to be really nice to get my wife to consider a VW though!It is nice!Digital HD cluster gauges in SEL trim.  Once you get that, you never go back.  Pano roof.  A very nice leatherette, especially in interior gray color.  We got the Stone Blue (sort of a grayish bluish hint of green) with the gray interior, a nice combo.  Her first choice was ice silver which is like a super light almost white nardo gray, but that seems to have been discontinued as a color.  One salesman suggested Audi wanted the color.8 speed auto, 2.0T motor tuned for 87 octane.  Lots of room vertically and length-wise.  Good looking well-designed SUV!The 6-year 72K mile bumper to bumper warranty is almost guaranteed to be used and come in handy, even if it were a Honda, which it isn't!  It's also a TRANSFERABLE warranty so it's not a gimmick like Hyundai/Kia where the warranty is only good for the first owner.  I will say the Alltrack was problem free for 31K miles.Wife says she got the 4-motion because it felt and drove better than the 2-wd model which she tested back to back.  Says the AWD felt lighter/peppier, probably due to better acceleration, even in the dry.  Something about the feel of AWD, which she said reminded her of the Alltrack drive, which is a good thing.We still have the Kia.... 4 cars is way too much though.  Need to schedule the return.  We are under-miles and she promised to drive it at least twice this week to work (tomorrow and thurs.).  Probably should return it this weekend.   Due date is Sept. 3rd."
20,andres3,"August 20, 2019 6:24PM","stickguysaid:well, the Hyundai BtoB is transferable and that is 5/60.  So only one year different.  And in 2020 VW ditched the 6/72 anyway.Lots of 2019's left right now though."
21,benjaminh,"February 21, 2020 12:13PM","stickguysaid:Henry, I am with you.  No spare tire is a hot button issue.  Last blow out I had was at night, on a holiday, in the middle of nowhere.  At least with the donut on I could get to a hotel, then next day find a tire store.  The tire was shredded so yeah, no can of fix a flat was helping.I believe the TLX (at least prior to 2018 redesign) had a spare as an option.  The ILX definitely did.  Heck, if you pulled out the tray insert, the bracket with the screw hole to attach the tire bold was already there.  And at one point they listed it as an accessory option on the build it page.the new RDX at least still has a spare.  I would have to check a TLX to see if the tire well is still there.stickguy: Did you end up retrofitting your TLX so that it would have a spare? So far no problems with my tires. But I did renew my AAA membership recently, even though Acura has a tow service included with the car."
22,stickguy,"February 21, 2020 12:50PM","I did add the spare when I got the car. The tire and kit is a dealer installed accessory. Probably a waste of money, but what can I say, I worry about stuff like this!Pretty sure I could take it out at the end of the lease and they wouldn’t notice but I didn’t keep all the foam filler parts so I’m not likely to bother."
23,qbrozen,"February 21, 2020 3:51PM","benjaminhsaid:The person in this video calculates that over 10 years a mid-level Camry with an msrp of c. $28k will have ownership costs of about $54k, while the lowest cost Tesla Model 3 over 10 years will cost about $52k. The basic argument is that it makes sense in the long run financially to get a Tesla. Maybe. But one thing that isn't taken into account is that a good discount off of msrp can be achieved with the Camry, while in contrast a Tesla I think always sells for full msrp. And so that right there more than erases the difference. And if you're really looking at lowest ownership costs over ten years, my guess is that a Camry hybrid, Accord hybrid, or Sonata hybrid will beat the Model 3 by a significant margin over ten years. Hmmm. The Tesla 3 is still an awesome and appealing vehicle, but it has a highway range of 250 miles, while my Acura TLX has a highway range of over 550 miles using the EPA rating, and since I often get c. 3-4 mpg over the epa rating in the real world, my actual highway range is about 600. But it is true that a Tesla goes from 0-60 a lot faster.https://www.youtube.com/watch?v=6sOjXCQVSKA66% RV after 5 years on the model 3? And 40% at 10 yrs? HAHAHAHAHA"
24,stickguy,"February 21, 2020 6:56PM",My car has 4 wheel steering?  I probably should have known that.  It does have nice handling.
25,benjaminh,"February 22, 2020 3:51AM","Here's an article about the vehicles that have 4 wheel steering available, which includes some high end sports cars, and the Audi A6, A7, and A8. It's usually an option that costs a bit extra.https://www.autoguide.com/auto-news/2018/11/what-vehicles-have-rear-wheel-steering-.htmlAnd although it's buried in a deluge of all sorts of other info on the TLX, there is a section on Acura's 4-wheel steering in the TLX press kit for 2018....https://acuranews.com/en-US/releases/release-4ab1e0fb10674d7791526ba08c42d93f-2018-acura-tlx-overview"
26,stickguy,"February 22, 2020 6:06AM","wonder if that took into account the tax credits?  another wildcard.one other thing with the 10 year comparison.  The Tesla is basically a PC.  in 10 years, the batteries may or may not work, and the car could be out of date and not upgrade-able.  At least you know the Camry will be perfectly fine to just keep driving!"
27,sda,"February 22, 2020 6:36AM","stickguysaid:wonder if that took into account the tax credits?  another wildcard.one other thing with the 10 year comparison.  The Tesla is basically a PC.  in 10 years, the batteries may or may not work, and the car could be out of date and not upgrade-able.  At least you know the Camry will be perfectly fine to just keep driving!It’s the horror stories that I’ve read of owners with cars out of warranty or needing collision parts but can’t get them or have a long wait could be a big negative compared to owning a Camry or main stream vehicle."
28,andres3,"February 22, 2020 6:47AM","sdasaid:stickguysaid:wonder if that took into account the tax credits?  another wildcard.one other thing with the 10 year comparison.  The Tesla is basically a PC.  in 10 years, the batteries may or may not work, and the car could be out of date and not upgrade-able.  At least you know the Camry will be perfectly fine to just keep driving!It’s the horror stories that I’ve read of owners with cars out of warranty or needing collision parts but can’t get them or have a long wait could be a big negative compared to owning a Camry or main stream vehicle.Agreed, Tesla must not have realized how much $$$$ there is in replacement parts due to bad drivers out there.Probably little after-market supporting them so far too."
29,roadburner,"February 22, 2020 7:21AM","I'm still giving a hard look to the Stinger GTS. Normally you would have to beat me with a stick to consider an AWD car, but the GTS D-AWD system allows the driver to select the default F/R torque split all the way up to sending 100% of the power to the rear axle, which is also fitted with a mechanical LSD- a feature rarely found in AWD cars. My only real gripe is that the GTS isn't any faster than my 2er. I was hoping to get something legitimately quicker- running the quarter in the mid to low twelves."
30,qbrozen,"February 22, 2020 7:38AM","benjaminhsaid:Tesla claims, however, that the battery on the Model 3 is designed to last at least 300,000 miles in regular use, and in few years that might be well over 500,000:Yeah, and I’ve got a house full of LED lightbulbs that are supposed to last 10 yrs, yet I have to change them every 2, if I’m lucky."
31,benjaminh,"February 22, 2020 7:49AM","So with the 10k lease incentive and a dealer discount is it possible to get a c. $45,000 Stinger for close to 30k?https://www.kia.com/us/en/stingerAnd since the base Stinger starts at c. 35k, would it be possible to get that model for as low as c. 25k?"
32,benjaminh,"February 24, 2020 5:17AM","When it comes to entry-level luxury vehicles, the list prices can often be deceptive.For instance the Audi A4 has a starting msrp of c.$38k, but as far as I can tell no such models are ever built or sold. The least expensive A4 at my local Audi dealer has an msrp of c. $45k.And then we have the example of the KIA Stinger, which seems like a very impressive car, the equal to something from BMW or Mercedes if they offered something like that, but at an msrp of thousands less. And because of the huge lease incentives the msrp of the Singer is deceptive on the other side. You might think that with an msrp of $45k or more that a loaded Stinger is out of reach, but since it's actually c. $10k less it becomes quite good deal."
33,dino001,"February 25, 2020 5:35AM","roadburnersaid:I'm still giving a hard look to the Stinger GTS. Normally you would have to beat me with a stick to consider an AWD car, but the GTS D-AWD system allows the driver to select the default F/R torque split all the way up to sending 100% of the power to the rear axle, which is also fitted with a mechanical LSD- a feature rarely found in AWD cars. My only real gripe is that the GTS isn't any faster than my 2er. I was hoping to get something legitimately quicker- running the quarter in the mid to low twelves.Cause faster is something everybody desperately needs. Without it we will all be lost..."
34,stickguy,"February 25, 2020 6:14AM","That’s a plus (or minus, depending on your perspective) of the traditional Asian packaging model.  Like Acura.  Just a few trim levels (option packages), so a a spec at one dealer is exactly like one at he next dealer.  Just about everything is standard.  And in this case, with base/tech/advanced, you can get a lease special strippo, a well equipped model, or almost silly level of gizmos.  Plus a sport trim."
35,roadburner,"February 25, 2020 8:38AM","dino001said:I like long standard equipment and short comprehensive packaging approach in Acura (Lexus and Infiniti are much more elaborate).  My only beef is that their model lineup is short (no hatchbacks, wagons, or any other ""special"" type of vehicle) and their color combinations are very limited in comparison with Germans.  They are all about playing it safe, whereas Germans are willing to take chances, make some special models for individuals with ""off-beat"" tastes, and pare it back when necessary.  I haven't seen Acura taking any real chances in their model lineup, Lexus made some efforts in high end performance range, but generally they are all a bit too oriented for the average buyer in that segment.  Basically cookie cutter.  Very well made, very well appointed, but cookie cutter nevertheless.I generally like Toyota trucks and SUVs, but the only Toyota/Lexus car I would seriously consider is the Supra."
36,roadburner,"February 25, 2020 8:45AM","dino001said:roadburnersaid:I'm still giving a hard look to the Stinger GTS. Normally you would have to beat me with a stick to consider an AWD car, but the GTS D-AWD system allows the driver to select the default F/R torque split all the way up to sending 100% of the power to the rear axle, which is also fitted with a mechanical LSD- a feature rarely found in AWD cars. My only real gripe is that the GTS isn't any faster than my 2er. I was hoping to get something legitimately quicker- running the quarter in the mid to low twelves.Cause faster is something everybody desperately needs. Without it we will all be lost...What can I say? It all goes back to-as I call it- my ""misspent street racing youth."""
37,dino001,"February 25, 2020 10:55AM","BTW, I looked into incentives on Stinger.  Up to 9.5 grand, but only if you take the specific lease through a captive program (24 month for the highest rebate) plus 1.5K conquest and whatever else may come, which can still be a great deal, considering the residual will likely be inflated vs. real value.  That's insane.  I think they overproduced big time, especially those ""GT+"" models."
38,benjaminh,"February 25, 2020 11:30AM","Michaellsaid:dino001said:BTW, I looked into incentives on Stinger.  Up to 9.5 grand, but only if you take the specific lease through a captive program (24 month for the highest rebate) plus 1.5K conquest and whatever else may come, which can still be a great deal, considering the residual will likely be inflated vs. real value.  That's insane.  I think they overproduced big time, especially those ""GT+"" models.$12,200 lease cash for 24 months on GT2 AWD.6 trim levels have lease cash at or above $10K for 24 month terms.Many, many people are ""leasing"", then immediately buying out the lease.That's a jaw-dropping lease incentive. Amazing deal."
39,stickguy,"August 6, 2019 4:38AM","drive a TLX if you haven't already.  Even the FWD handles very nicely, and does not feel overly FWDish.   I have not driven a TLX AWD, but I have driven SH-AWD on other models, and it is very nice."
40,benjaminh,"August 8, 2019 6:08AM","Since I was a teenager one of my dream cars has been the BMW 3-series. The new generation of this car seems like it's really good, but prices have climbed steadily over the years and the least expensive 2019 BMW 3-series at BMW of Louisville has an msrp of about $47,000....https://www.louisvillebmw.com/new-Jefferson+County-2019-BMW-3+Series-Base-WBA5R7C57KFH22142That's a lot of money."
41,benjaminh,"August 8, 2019 7:39AM","stickguysaid:I am in the same boat.  I almost bought a 5 series in 2001 but backed out due to cost ($38K purchase price even back then).  though a 3 series now is about as big, better equipped, and if you get a loaner, about the same price!maybe someday, but the ship probably sailed.  Plus we are likely looking at an X3 at this point, so even more cha-ching.I realize you're right that the 3-series of today is as big as the 5-series of a couple of decades ago, making it seem like a better deal. An entry-level 3-series on the BMW website without any options and in white or black starts at $42k or so, but in the real world I don't think you'd ever find any like that. They no longer make the de-powered 320i, which I feel mixed about, and so even an entry level 330i is now about the same in performance as V-6 TLX. But since I don't need that much power...."
42,stickguy,"August 8, 2019 8:03AM","Everything has more HP now.Size wise, they are about the same was my point."
43,stickguy,"August 8, 2019 10:07AM",I think cars also got a lot wider in recent years.  While my garage door opening didn’t.
44,benjaminh,"August 8, 2019 3:21PM","This review of 26,000 miles of ownership in a Tesla Model 3 says that compared to a similar gas car he's saved about $2000 by using electricity instead of gasoline. But the Telsa Model 3 with a few options is, as he says, a $50,000 car on which you can't get any discounts. Because of big discounts and lease incentives I paid close to $30,000 for my more luxurious TLX. With that $20,000 difference there's no way even at 2k in fuel savings a year that you'll come out ahead. And I don't drive 26k miles a year, but more like 14k. And so the fuel savings would maybe be more like $1200. Plus my guess is that by the time he gets to 100,000 miles, if he keeps the Model 3 that long, he might need to replace the batteries, which might be a c. $10,000 repair, while with maintenance and good luck the engine and transmission on a TLX might go past 200k without major repairs. The TLX has environmental costs, but so does getting rid of or trying to recycle a huge number of Tesla batteries. The bottom line is that the costs for long-term ownership still favors the TLX big a big margin as far as I can see. I see the appeal, but the math just doesn't seem to add up unless you are so well off that costs aren't really a significant factor....https://www.youtube.com/watch?v=g6r5SRM2H3APS Finally, the expensive extended range version of the Model 3 will go about 300 miles before it needs a recharge, while the TLX 2.4 can go twice that on the highway."
45,benjaminh,"August 9, 2019 4:29AM","carnaughtsaid:I just can’t get past range anxiety.  That and the practicality factor for my purposes make it not work for me.  IMHO, the styling is meh.The extended range Model 3 can go c.300 miles, which is sort-of ok. But once it's empty even at a Supercharger it takes over an hour to get close to a full recharge—compared to a fill-up of an ICE car at a gas station that takes at most ten minutes. For most road trips I just don't think that I want to stop that long at a Supercharger station in a strip mall or whatever.But I actually really like the styling of all Tesla vehicles."
46,benjaminh,"August 9, 2019 4:27PM","According to this video, the Tesla Model 3 might be the safest passenger car in America....https://www.youtube.com/watch?v=bkayYiwrjyQ"
47,benjaminh,"August 10, 2019 7:00AM","It looks like annual sales of the Tesla Model 3 for 2019 might exceed 200,000, outselling all other ELL cars by a huge margin.https://cleantechnica.com/2019/08/10/tesla-model-3-outsold-bmw-mercedes-audi-lexus-competitors-in-2nd-quarter-in-usa-by-a-landslide/"
48,benjaminh,"August 10, 2019 8:19AM","carnaughtsaid:@benjaminh, sounds like your next car?I still have 2 years left on the lease for my Acura TLX. But maybe after that? Probably not. I'm more likely to buy the TLX for 18.5k at that point.But the Tesla Model 3 does seem like it's a really good car. After watching all these videos my doubts about it are slowly falling away. The big thing I wonder about is what happens with the batteries after ten years...."
49,dino001,"August 10, 2019 8:28AM","benjaminhsaid:It looks like annual sales of the Tesla Model 3 for 2019 might exceed 200,000, outselling all other ELL cars by a huge margin.https://cleantechnica.com/2019/08/10/tesla-model-3-outsold-bmw-mercedes-audi-lexus-competitors-in-2nd-quarter-in-usa-by-a-landslide/I don't think so.  It's much more likely US sales will revert closer to Q1 numbers than maintain Q2 numbers.  Anybody, who read what Tesla actually had to do to get to those Q2 numbers would know there was a lot of one-time moves, just like Q4 of last year.  I think a much more likely number is missing 200k target by a small margin.  Much more interesting to me is how many new EV buyers are left in the current market.  Those who wanted one, got it (most of them anyway) and they can pray to it, if that's their fancy.  Now it's about people like myself - I have the money, I COULD buy it even at current prices, if I wanted to.  There are aspects about those vehicles that I like and respect, but I'm not even considering it at this point.  One reason is I'm not completely convinced Tesla will be around in five years, or to be more precise, I think the probability of complete failure of the company is significantly higher than zero (in mathematical terms ""non-trivial"").  I can't ignore this in my calculus.  That's on top of the lack of energy portability that's offered in gasoline engine.  It could do well as a second vehicle in the house, but simply I have no space for two vehicles."
50,benjaminh,"August 13, 2019 6:30PM","https://loupventures.com/tesla-model-3-cost-of-ownership-slightly-cheaper-than-a-camry/""Average all-in cost per mile for a Model 3 is $0.46, compared to the Camry LE at $0.49, and Audi A5 at $0.80.""This study claims to show that a Tesla Model 3 costs less over 5 years than a Toyota Camry, which is shocking.But I don't agree with some of the numbers that were used. For instance, it says that maintenance and repairs for a Camry over 5 years will be about $4000, but my guess is that it would be about half of that (10 oil changes x $50 each =$500 + 4 tires for c.$1000 + 500 additional would be my estimate). The Tesla model was c. $39k on which no discounts are possible, but with a Camry for c.$25k you might get $4000 off of msrp, which they didn't indicate. So I feel like the study is about $6000 off in favor of the Tesla. Finally, although the Tesla battery has a 8 years/100,000 mile warranty, I'm wondering if you own the Tesla for 10 years and 150,000 or more miles if a new $8000 or so battery is likely to be needed.Still, the bottom line is that the economics may possibly be shifting toward electrics, and specifically Tesla. There's no doubt that a Tesla is cheaper over 5 years than their other comparison, which was an Audi A5. And now Elon Musk says that starting next year the design life of the battery for the Model 3 will more than double:https://electrek.co/2019/04/23/tesla-battery-million-miles-elon-musk/If this pans out, this means that in a year or two the batteries of a Teslas Model 3 will be able to last maybe as much as 500,000 miles. The electric motors for a Tesla are already likely to last at least 500,000 miles, because well-designed electric motors are inherently longer lasting than most internal combustion engines.Plus there are no oil changes etc. For high-mileage drivers the Tesla might become a top choice, because the cost per mile driven would almost certainly be quite low.I've gone from being a Tesla skeptic to someone who thinks there might be something to this."
51,stickguy,"August 13, 2019 7:04PM","there are still limits to a full electric that would prevent me from getting one.  Unless it was really cheap (as opposed to really expensive, which they are), and I truly just needed a 2nd car for pure local duty.the problem is, they are expensive, and we can only afford one car in that high price range, and it will be the one we take on trips.  So, the train ain't meeting on this one!  No way I am taking one on say Christmas eve trip at 10 PM across the boondocks of NYS,  in usually crappy weather, and have to be trying to find a charging station in an area I would really prefer not to stop in!  Or get out to charge then sit there for 2 hours while it does.even worse if you can't afford more than say a leaf or Bolt.  Not a suitable family truckster travel car anyway."
52,stickguy,"August 13, 2019 7:38PM","well, I am not buying that logic!  driving around local means gassing up once a week or 2.  and there are stations everywhere, so if you are getting low you just swing into one, and 5 minutes later gassed up and on your way.but in the same usage, an EV would not concern me.  It really is travelling that does it.  and we don't normally stop much.  gas if going 400+ miles (well, in my car, 300 in the RDX!), otherwise just a quick pit stop for bathroom and stretch, and if eating it will be a quick food place.   and driving in rural areas at weird times, which we do, is really not going to be comfortable in an EV.Kind of a moot point anyway for us, because we can't afford the EV equivalent of the car we would like to have as our one nice set of wheels!"
53,benjaminh,"August 14, 2019 2:31AM",Preview of the next-generation Acura TLX Type S by Kelley Blue Book. Guesses are that the next-gen TLX will arrive as a 2021 model sometime next summer. I think it looks good.https://www.youtube.com/watch?v=XAfjIt33ilI
54,tjc78,"August 14, 2019 3:51AM","I just did the opposite.  After nearly 10 years of commuting together wife and I are now separate.  It feels weird, but now I can rock out to 80s on 8 or Hair Nation while she listens to her Pitbull radio lol"
55,tjc78,"August 14, 2019 4:52AM","Ha Ha...All the stations get a little repetitive, I bounce around a lot to try and avoid that."
56,ab348,"August 14, 2019 5:12AM","stickguysaid:That’s the problem with any oldies genre station.  They aren’t making any new songs and the catalogue of old ones isn’t that big.So branch out, and listen to new music!There is no shortage of music from any era. The problem is that stations both OTA and satellite maintain limited playlists based on criteria they believe will keep the majority of their listeners happy. I have several thousand tunes from my preferred era to choose from and keep hundreds of them on USB for use in the car. Mix them up every so often, dropping ones I get tired of and adding others, and create new playlists when I do. Don't ever listen to radio now.I have no desire to seek out new music because most of it leaves me cold. An affliction of my age."
57,benjaminh,"August 15, 2019 1:38AM","I know Scotty Kilmer is controversial, but from his pov he thinks that newer BMW's have some long-term reliability issues. He says that an increased used of plastics for some engine parts is one of the problems....https://www.youtube.com/watch?v=eS9duddPqUI"
58,stickguy,"August 15, 2019 4:55AM","Not just bmw, but he has a good point about plastic parts in the engine."
59,benjaminh,"August 16, 2019 1:54AM","Scotty Kilmer dislikes working on Minis and says that they are junk. (In fact, he dislikes them so much that his language becomes somewhat insensitive.)https://www.youtube.com/watch?v=Lp0LdnreYmE"
60,tjc78,"August 16, 2019 4:06AM",+1
61,roadburner,"August 16, 2019 3:14PM",He is a complete moron.
62,benjaminh,"August 17, 2019 1:32AM",Luxury VW Arteon hatchback sedan....https://www.youtube.com/watch?v=_-LJGn24VP8
63,jpp75,"August 18, 2019 7:59AM","My cousin and his family just returned to the US after living abroad for a few years which meant they had to purchase cars.   His wife got a Model 3, Dual Motor and she absolutely loves it.   I've had the opportunity to drive it a couple of times and definitely enjoy it.   I've told@Michaelland@breld, if you want an electric car this is a no brainer.   However, if you're looking to spend $40 - $50k on a vehicle you'll definitely find something you like better."
64,Mr_Shiftright,"April 23, 2019 9:13AM","I think for most people doing what most people do all day in a car, paddle shifters are just a bit silly."
65,ab348,"April 23, 2019 9:27AM","Mr_Shiftrightsaid:I think for most people doing what most people do all day in a car, paddle shifters are just a bit silly.They are, but they are a fun diversion sometimes. I've played with them on the ATS and it makes no sense to use them in normal driving. I suppose if you tracked it, that would be a different story."
66,henryn,"April 23, 2019 10:01AM","I will mention one thing I like -- Ford, in their pickups (don't know about the cars?) has a ""gear indicator"" on the dash.  With 6 and 10 speed automatic transmissions, it's interesting to see what gear the computer has picked for you under what circumstances, and how far it drops when you lower the hammer.It really doesn't matter, all that matters is how well the vehicle responds, but I still find it interesting."
67,stickguy,"April 23, 2019 10:48AM",that is what I do.  Just try them once or twice.  Still need to figure out the TLX.  Not sure how to switch that to manual mode.
68,stickguy,"April 23, 2019 11:13AM",So far that’s all I have done with it.  So maybe that’s all it does!
69,stickguy,"April 23, 2019 11:28AM",I don’t think the TLX even has that.  I should dig out the manual and look it up.
70,ksoman,"April 23, 2019 3:27PM","qbrozensaid:Paddles are no longer slower. Well, not all. The ZF trannies are instantaneous, as are the PDK. And, yes, this is all about getting around faster. If I just want the feel of a car, then I’ll get an old 110hp miata with manual steering and manual brakes.Exactly. Not sure which 20th-century paddles you guys are complaining aboutI find shifting with paddles on a auto-manual way more fun because they are right there, where both my hands are while i'm twisting around twists."
71,qbrozen,"April 23, 2019 6:23PM","Used them all the time in my 135, CTS, and Stelvio. Almost never in my 330. Just the typeof driving I do now I guess. I’m more about fuel economy lately."
72,andres3,"April 24, 2019 2:39PM","stickguysaid:Mr_Shiftrightsaid:They are faster than a human can operate a clutch---no argument from me there!The point is--are you driving or are you steering?might be relevant if you are driving flat out on a track.  In normal driving, even the rare spirited back road type, I bet most people (including me) don't push the envelope to that extreme, so the fraction of a second difference is meaningless.  But the tactile experience and sense of control isn't.  ATs are IMO much more likely to spend time trying to hold a much too high gear, or hunting around for the right one, than they are to be snapping off powershifts at the redline.They are more relaxing in stop and go traffic though.  Not that lightning quick gear changes matter much in that use!Lighting quick gear changes probably help contribute to the superior fuel economy though."
